file,year,var,name,unit
35206-0042-Data.tsv,1992,item030036,interest_farms,
35206-0042-Data.tsv,1992,item030037,interest_val,1000
35206-0042-Data.tsv,1992,item030038,interest_re_farms,
35206-0042-Data.tsv,1992,item030039,interest_re_val,1000
35206-0042-Data.tsv,1992,item030042,cash_rent_farms,
35206-0042-Data.tsv,1992,item030043,cash_rent_val,1000
35206-0042-Data.tsv,1992,item030044,property_tax_farms,
35206-0042-Data.tsv,1992,item030045,property_tax_val,1000
35206-0042-Data.tsv,1992,item040001,net_cash_farms,
35206-0042-Data.tsv,1992,item040002,net_cash_val,1000
35206-0042-Data.tsv,1992,item040022,income_rent_farms_reporting,
35206-0042-Data.tsv,1992,item040023,income_rent_val,1000
35206-0042-Data.tsv,1992,item110006,acres_full_owned,
35206-0042-Data.tsv,1992,item110010,acres_part,
35206-0042-Data.tsv,1992,item110011,acres_part_owned,
35206-0042-Data.tsv,1992,item110012,acres_part_rented,
35206-0042-Data.tsv,1992,item110016,acres_tenant_rented,
35206-0043-Data.tsv,1997,item01001,farms,
35206-0043-Data.tsv,1997,item01002,acres,
35206-0043-Data.tsv,1997,item01005,farmland_val_per_farm,
35206-0043-Data.tsv,1997,item01006,farmland_val_per_acre,
35206-0043-Data.tsv,1997,item03036,interest_farms,
35206-0043-Data.tsv,1997,item03037,interest_val,1000
35206-0043-Data.tsv,1997,item03038,interest_re_farms,
35206-0043-Data.tsv,1997,item03039,interest_re_val,1000
35206-0043-Data.tsv,1997,item03042,cash_rent_farms,
35206-0043-Data.tsv,1997,item03043,cash_rent_val,1000
35206-0043-Data.tsv,1997,item03044,property_tax_farms,
35206-0043-Data.tsv,1997,item03045,property_tax_val,1000
35206-0043-Data.tsv,1997,item04001,net_cash_farms,
35206-0043-Data.tsv,1997,item04002,net_cash_val,1000
35206-0043-Data.tsv,1997,item04022,income_rent_farms_reporting,
35206-0043-Data.tsv,1997,item04023,income_rent_val,1000
35206-0043-Data.tsv,1997,item11006,acres_full_owned,
35206-0043-Data.tsv,1997,item11010,acres_part,
35206-0043-Data.tsv,1997,item11011,acres_part_owned,
35206-0043-Data.tsv,1997,item11012,acres_part_rented,
35206-0043-Data.tsv,1997,item11016,acres_tenant_rented,
